segment,antecedents,consequents,support,confidence,lift,n_baskets
Engaged Family Provisioner,"cereals, fresh bread",cooking oil,0.02,0.234,2.303,36
Engaged Family Provisioner,cooking oil,"cereals, fresh bread",0.02,0.198,2.303,36
Engaged Family Provisioner,"cereals, cooking oil",fresh bread,0.02,0.529,2.255,36
Engaged Family Provisioner,fresh bread,"cereals, cooking oil",0.02,0.086,2.255,36
Engaged Family Provisioner,eggs,"bacon, butter",0.026,0.121,2.205,47
Engaged Family Provisioner,"bacon, butter",eggs,0.026,0.48,2.205,47
Engaged Family Provisioner,"eggs, milk",cereals,0.021,0.529,2.204,37
Engaged Family Provisioner,cereals,"eggs, milk",0.021,0.086,2.204,37
Engaged Family Provisioner,"bacon, eggs",butter,0.026,0.485,2.194,47
Engaged Family Provisioner,butter,"bacon, eggs",0.026,0.119,2.194,47
Engaged Family Provisioner,"cereals, milk",eggs,0.021,0.474,2.181,37
Engaged Family Provisioner,eggs,"cereals, milk",0.021,0.095,2.181,37
Engaged Family Provisioner,"eggs, oatmeal",butter,0.02,0.48,2.173,36
Engaged Family Provisioner,butter,"eggs, oatmeal",0.02,0.091,2.173,36
Engaged Family Provisioner,"butter, eggs",bacon,0.026,0.313,2.169,47
Engaged Family Provisioner,bacon,"butter, eggs",0.026,0.181,2.169,47
Engaged Family Provisioner,"bacon, fresh bread",butter,0.024,0.473,2.139,43
Engaged Family Provisioner,butter,"bacon, fresh bread",0.024,0.109,2.139,43
Engaged Family Provisioner,"fresh bread, honey",eggs,0.022,0.46,2.114,40
Engaged Family Provisioner,eggs,"fresh bread, honey",0.022,0.103,2.114,40
Engaged Family Provisioner,"cereals, oatmeal",eggs,0.02,0.456,2.095,36
Engaged Family Provisioner,eggs,"cereals, oatmeal",0.02,0.092,2.095,36
Engaged Family Provisioner,"butter, honey",eggs,0.022,0.453,2.085,39
Engaged Family Provisioner,eggs,"butter, honey",0.022,0.1,2.085,39
Engaged Family Provisioner,"cereals, eggs",milk,0.021,0.227,2.077,37
Engaged Generalist,"butter, cereals",eggs,0.024,0.422,2.584,573
Engaged Generalist,eggs,"butter, cereals",0.024,0.145,2.584,573
Engaged Generalist,"butter, eggs",cereals,0.024,0.433,2.546,573
Engaged Generalist,cereals,"butter, eggs",0.024,0.139,2.546,573
Engaged Generalist,"eggs, fresh bread",cereals,0.023,0.425,2.5,547
Engaged Generalist,cereals,"eggs, fresh bread",0.023,0.133,2.5,547
Engaged Generalist,"cereals, eggs",butter,0.024,0.417,2.488,573
Engaged Generalist,butter,"cereals, eggs",0.024,0.141,2.488,573
Engaged Generalist,"cereals, fresh bread",eggs,0.023,0.4,2.45,547
Engaged Generalist,eggs,"cereals, fresh bread",0.023,0.138,2.45,547
Engaged Generalist,"butter, fresh bread",cereals,0.022,0.409,2.408,526
Engaged Generalist,cereals,"butter, fresh bread",0.022,0.128,2.408,526
Engaged Generalist,"butter, fresh bread",eggs,0.02,0.381,2.333,490
Engaged Generalist,eggs,"butter, fresh bread",0.02,0.124,2.333,490
Engaged Generalist,"cereals, fresh bread",butter,0.022,0.385,2.296,526
Engaged Generalist,butter,"cereals, fresh bread",0.022,0.129,2.296,526
Engaged Generalist,"eggs, fresh bread",butter,0.02,0.381,2.27,490
Engaged Generalist,butter,"eggs, fresh bread",0.02,0.121,2.27,490
Engaged Generalist,fresh bread,"cereals, eggs",0.023,0.127,2.247,547
Engaged Generalist,"cereals, eggs",fresh bread,0.023,0.398,2.247,547
Engaged Generalist,"butter, cereals",fresh bread,0.022,0.388,2.186,526
Engaged Generalist,fresh bread,"butter, cereals",0.022,0.122,2.186,526
Engaged Generalist,"butter, eggs",fresh bread,0.02,0.37,2.087,490
Engaged Generalist,fresh bread,"butter, eggs",0.02,0.114,2.087,490
Engaged Generalist,eggs,cereals,0.057,0.347,2.04,1373
Promo Hunter,energy drink,bluetooth headphones,0.026,0.285,3.118,446
Promo Hunter,bluetooth headphones,energy drink,0.026,0.284,3.118,446
Promo Hunter,salad,avocado,0.028,0.286,2.94,485
Promo Hunter,avocado,salad,0.028,0.289,2.94,485
Promo Hunter,bluetooth headphones,airpods,0.042,0.463,2.819,728
Promo Hunter,airpods,bluetooth headphones,0.042,0.258,2.819,728
Promo Hunter,salad,carrots,0.03,0.302,2.802,512
Promo Hunter,carrots,salad,0.03,0.276,2.802,512
Promo Hunter,salad,spinach,0.03,0.303,2.741,513
Promo Hunter,spinach,salad,0.03,0.27,2.741,513
Promo Hunter,energy drink,airpods,0.041,0.447,2.725,700
Promo Hunter,airpods,energy drink,0.041,0.248,2.725,700
Promo Hunter,avocado,carrots,0.029,0.293,2.716,491
Promo Hunter,carrots,avocado,0.029,0.265,2.716,491
Promo Hunter,avocado,spinach,0.028,0.292,2.647,490
Promo Hunter,spinach,avocado,0.028,0.258,2.647,490
Promo Hunter,salad,asparagus,0.047,0.477,2.582,808
Promo Hunter,asparagus,salad,0.047,0.254,2.582,808
Promo Hunter,avocado,asparagus,0.045,0.462,2.503,775
Promo Hunter,asparagus,avocado,0.045,0.244,2.503,775
