customer_id,segment,value_cluster,mix_cluster
3,Promo Hunter,1,3
4,Routine Young Parents,0,0
5,Routine Generalist,0,3
7,Routine Tech,0,2
8,Routine Tech,0,2
9,Routine Generalist,0,3
10,Routine Generalist,0,3
11,Engaged Generalist,2,3
12,Routine Generalist,0,3
14,Routine Young Parents,0,0
15,Routine Young Parents,0,0
16,Promo Hunter,1,3
18,Routine Tech,0,2
19,Routine Family Provisioner,0,1
20,Engaged Generalist,2,3
22,Routine Young Parents,0,0
24,Routine Generalist,0,3
25,Promo Hunter,1,3
26,Engaged Generalist,2,3
27,Promo Hunter,1,3
28,Promo Hunter,1,3
29,Promo Hunter,1,3
30,Routine Young Parents,0,0
31,Routine Tech,0,2
33,Routine Young Parents,0,0
34,Routine Generalist,0,3
35,Engaged Generalist,2,3
36,Engaged Generalist,2,3
37,Engaged Generalist,2,3
38,Routine Family Provisioner,0,1
39,Engaged Generalist,2,3
40,Engaged Generalist,2,3
41,Routine Young Parents,0,0
42,Routine Generalist,0,3
44,Routine Young Parents,0,0
46,Routine Young Parents,0,0
47,Promo Hunter,1,1
48,Promo Hunter,1,3
49,Engaged Generalist,2,3
50,Engaged Generalist,2,3
52,Routine Tech,0,2
53,Promo Hunter,1,3
54,Routine Generalist,0,3
55,Routine Generalist,0,3
56,Routine Generalist,0,3
57,Promo Hunter,1,3
59,Promo Hunter,1,3
60,Routine Generalist,0,3
61,Routine Young Parents,0,0
62,Engaged Family Provisioner,2,1
63,Routine Young Parents,0,0
64,Promo Hunter,1,3
66,Engaged Generalist,2,0
69,Routine Young Parents,0,0
70,Routine Tech,0,2
71,Routine Young Parents,0,0
72,Routine Young Parents,0,0
73,Routine Tech,0,2
74,Routine Young Parents,0,0
75,Routine Tech,0,2
76,Routine Generalist,0,3
77,Routine Generalist,0,3
78,Engaged Generalist,2,3
79,Engaged Generalist,2,3
80,Engaged Generalist,2,3
81,Routine Family Provisioner,0,1
82,Promo Hunter,1,3
83,Routine Tech,0,2
84,Engaged Generalist,2,3
85,Routine Family Provisioner,0,1
86,Engaged Generalist,2,3
87,Engaged Generalist,2,3
89,Routine Generalist,0,3
90,Routine Tech,0,2
91,Promo Hunter,1,3
92,Promo Hunter,1,3
94,Routine Young Parents,0,0
95,Routine Tech,0,2
97,Promo Hunter,1,3
100,Promo Hunter,1,3
102,Routine Tech,0,2
103,Routine Generalist,0,3
105,Engaged Generalist,2,3
106,Routine Tech,0,2
107,Engaged Generalist,2,3
108,Promo Hunter,1,3
109,Routine Young Parents,0,0
110,Promo Hunter,1,3
111,Routine Generalist,0,3
112,Promo Hunter,1,3
113,Engaged Generalist,2,3
114,Routine Tech,0,2
115,Routine Tech,0,2
116,Routine Tech,0,2
117,Engaged Generalist,2,3
119,Routine Generalist,0,3
120,Routine Young Parents,0,0
121,Engaged Family Provisioner,2,1
122,Engaged Generalist,2,3
